CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Value Segment,RFM Customer Segments
15388,524,2,"99,1",4,1,1,6,Mid-Value,Potential Loyalists
15389,9,3,"24,650000000000002",5,1,1,7,Mid-Value,Potential Loyalists
15390,845,6,"672,0",3,1,2,6,Mid-Value,Potential Loyalists
15391,431,1,"50,4",4,1,1,6,Mid-Value,Potential Loyalists
15392,868,2,"53,9",3,1,1,5,Low-Value,At Risk Customers
15393,858,2,"340,8",3,1,1,5,Low-Value,At Risk Customers
15394,581,3,"839,4",4,1,2,7,Mid-Value,Potential Loyalists
15395,190,4,"723,9",5,1,2,8,High-Value,Potential Loyalists
15396,1202,1,"59,2",2,1,1,4,Low-Value,Can't Lose
15397,200,5,"702,25",5,1,2,8,High-Value,Potential Loyalists
15400,721,3,"107,1",4,1,1,6,Mid-Value,Potential Loyalists
15401,734,4,"168,25",3,1,1,5,Low-Value,At Risk Customers
15403,195,3,"218,59999999999997",5,1,1,7,Mid-Value,Potential Loyalists
15404,802,4,"228,4",3,1,1,5,Low-Value,At Risk Customers
15405,373,3,"363,4",4,1,1,6,Mid-Value,Potential Loyalists
15408,423,1,"44,5",4,1,1,6,Mid-Value,Potential Loyalists
15410,37,1,"30,0",5,1,1,7,Mid-Value,Potential Loyalists
15411,24,3,"314,6",5,1,1,7,Mid-Value,Potential Loyalists
15413,726,4,"195,5",4,1,1,6,Mid-Value,Potential Loyalists
15414,1119,2,"120,80000000000001",2,1,1,4,Low-Value,Can't Lose
15415,850,1,"18,5",3,1,1,5,Low-Value,At Risk Customers
15417,355,6,"138,85",5,1,1,7,Mid-Value,Potential Loyalists
15419,749,2,"14,399999999999999",3,1,1,5,Low-Value,At Risk Customers
15420,555,1,"38,849999999999994",4,1,1,6,Mid-Value,Potential Loyalists
15421,119,4,"154,04999999999998",5,1,1,7,Mid-Value,Potential Loyalists
15423,1266,1,"72,0",2,1,1,4,Low-Value,Can't Lose
15424,136,4,"259,6",5,1,1,7,Mid-Value,Potential Loyalists
15425,496,9,"731,7",4,2,2,8,High-Value,Potential Loyalists
15429,1235,5,"189,64999999999998",2,1,1,4,Low-Value,Can't Lose
15430,44,4,"180,75",5,1,1,7,Mid-Value,Potential Loyalists
15431,115,4,"69,14999999999999",5,1,1,7,Mid-Value,Potential Loyalists
15432,1147,2,"46,15",2,1,1,4,Low-Value,Can't Lose
15433,718,1,"125,7",4,1,1,6,Mid-Value,Potential Loyalists
15434,572,1,"66,8",4,1,1,6,Mid-Value,Potential Loyalists
15435,227,1,"54,0",5,1,1,7,Mid-Value,Potential Loyalists
15437,0,8,"749,8",5,2,2,9,High-Value,Champions
15438,1268,2,"223,10000000000002",2,1,1,4,Low-Value,Can't Lose
15439,417,4,"204,70000000000002",4,1,1,6,Mid-Value,Potential Loyalists
15440,1306,1,"16,75",2,1,1,4,Low-Value,Can't Lose
15441,302,3,"456,75",5,1,1,7,Mid-Value,Potential Loyalists
15442,1012,1,"12,1",3,1,1,5,Low-Value,At Risk Customers
15443,995,1,"1,9",3,1,1,5,Low-Value,At Risk Customers
15445,1310,3,"129,2",2,1,1,4,Low-Value,Can't Lose
15446,739,5,"235,39999999999998",3,1,1,5,Low-Value,At Risk Customers
15447,1233,2,"198,65",2,1,1,4,Low-Value,Can't Lose
15449,876,3,"908,55",3,1,2,6,Mid-Value,Potential Loyalists
15450,102,3,"37,5",5,1,1,7,Mid-Value,Potential Loyalists
15451,570,8,"350,18",4,2,1,7,Mid-Value,Potential Loyalists
15453,338,3,"832,15",5,1,2,8,High-Value,Potential Loyalists
15456,1607,1,"88,6",1,1,1,3,Low-Value,Lost
15457,102,3,"162,35",5,1,1,7,Mid-Value,Potential Loyalists
15458,182,2,"272,0",5,1,1,7,Mid-Value,Potential Loyalists
15461,1046,3,"185,2",3,1,1,5,Low-Value,At Risk Customers
15463,776,2,"44,400000000000006",3,1,1,5,Low-Value,At Risk Customers
15464,71,10,"401,9",5,2,1,8,High-Value,Potential Loyalists
